,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,4884035000,남면,20342762,선구횟집,4884035024113360000040348,43,,14,,48,경상남도,,,,Q,음식,Q03,일식/수산물,Q03A01,횟집,I56111,한식 음식점업,34.7368713716278,4884035024,남면,경상남도 남해군 남면 선구리 1336,4884035024213360000,1336,,127.856621754794,52435,668863,1,대지,경상남도 남해군 남면 남면로1103번길,경상남도 남해군 남면 남면로1103번길 43-14,488404829047,48840,남해군
1,4884025000,남해읍,20342766,갈채,4884025021101270002015172,1,칸어학원남해캠퍼스,2,,48,경상남도,,1,,Q,음식,Q09,유흥주점,Q09A10,룸살롱/단란주점,I56211,일반유흥 주점업,34.8379945886805,4884025021,남해읍,경상남도 남해군 남해읍 북변리 127-2,4884025021201270002,127,2,127.893796655541,52424,668802,1,대지,경상남도 남해군 남해읍 망운로,경상남도 남해군 남해읍 망운로 1-2,488403343013,48840,남해군
2,4615056000,조곡동,20342769,비엔비,4615011100101530019046774,97,우리헤어라인,1,,46,전라남도,,2,,Q,음식,Q09,유흥주점,Q09A10,룸살롱/단란주점,I56211,일반유흥 주점업,34.9461421321033,4615011100,조곡동,전라남도 순천시 조곡동 153-19,4615011100201530019,153,19,127.499130827973,57964,540963,1,대지,전라남도 순천시 팔마로,전라남도 순천시 팔마로 97-1,461503283029,46150,순천시
3,4163054000,회천2동,20342771,소망분식,4163011600104200011018355,1418,정산빌리지,14,,41,경기도,,,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,37.8177456131404,4163011600,덕계동,경기도 양주시 덕계동 420-11,4163011600204200011,420,11,127.04653534059,11444,482050,1,대지,경기도 양주시 평화로,경기도 양주시 평화로 1418-14,416303212037,41630,양주시
4,4812957000,병암동,20342775,월성식당,4812913900104250001011725,17,월성식당,,,48,경상남도,A,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.1553426814832,4812913900,경화동,경상남도 창원시 진해구 경화동 425-1,4812913900204250001,425,1,128.689600024444,51670,645800,1,대지,경상남도 창원시 진해구 충장로345번길,경상남도 창원시 진해구 충장로345번길 17,481294793539,48129,창원시 진해구
5,4812553000,월영동,20342783,꽃보다소,4812515800100360007043193,19,황제노래방,,,48,경상남도,,,,Q,음식,Q01,한식,Q01A99,기타고기요리,I56111,한식 음식점업,35.1793126797979,4812515800,해운동,경상남도 창원시 마산합포구 해운동 36-7,4812515800200360007,36,7,128.561994318252,51749,631872,1,대지,경상남도 창원시 마산합포구 월영동6길,경상남도 창원시 마산합포구 월영동6길 19,481254787600,48125,창원시 마산합포구
6,4772035000,의흥면,20342787,숙향구이,4772035032106030001032256,7,,10,,47,경상북도,,,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,36.1738867274243,4772035032,의흥면,경상북도 군위군 의흥면 읍내리 603-1,4772035032206030001,603,1,128.716600605555,39049,716863,1,대지,경상북도 군위군 의흥면 읍내5길,경상북도 군위군 의흥면 읍내5길 7-10,477204742218,47720,군위군
7,4182031000,설악면,20342798,옛설악단호박찐빵,4182031028101200001013527,152,옛설악단호박찐빵,,,41,경기도,,,,Q,음식,Q08,제과제빵떡케익,Q08A05,찐빵전문,I56194,분식 및 김밥 전문점,37.6698644835569,4182031028,설악면,경기도 가평군 설악면 창의리 120-1,4182031028201200001,120,1,127.507019087162,12464,477852,1,대지,경기도 가평군 설악면 한서로,경기도 가평군 설악면 한서로 152,418203000143,41820,가평군
8,4719056500,선주원남동,20342804,은성추어탕,4719010400102740003024765,11,,1,,47,경상북도,,,,Q,음식,Q01,한식,Q01A14,추어탕전문,I56111,한식 음식점업,36.1499886333747,4719010400,봉곡동,경상북도 구미시 봉곡동 274-3,4719010400202740003,274,3,128.309828493432,39208,730808,1,대지,경상북도 구미시 봉곡남로11길,경상북도 구미시 봉곡남로11길 11-1,471904724297,47190,구미시
9,4884039000,창선면,20342805,정원다방,4884039032105110001018929,61,동일자재철물상회,,,48,경상남도,,,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,34.8548260121547,4884039032,창선면,경상남도 남해군 창선면 수산리 511-1,4884039032205110001,511,1,128.013043834686,52453,668851,1,대지,경상남도 남해군 창선면 창선로,경상남도 남해군 창선면 창선로 61,488403343037,48840,남해군
