,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,4311258000,수곡2동,11753656,치코파닭,4311310900108130000024437,23,,2,,43,충청북도,,1,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,36.6173193177317,4311210700,수곡동,충청북도 청주시 서원구 수곡동 813,4311210700208130000,813,,127.470772430468,28688,362150,1,대지,충청북도 청주시 서원구 수곡로67번길,충청북도 청주시 서원구 수곡로67번길 23-2,431124511627,43112,청주시 서원구
1,2653058000,삼락동,11753658,밀양식당,2653010100103560006028112,16,미래카써비스,,,26,부산광역시,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.1825719444504,2653010100,삼락동,부산광역시 사상구 삼락동 365-5,2653010100203650005,365,5,128.978050059126,46908,617826,1,대지,부산광역시 사상구 모덕로,부산광역시 사상구 모덕로 16,265303139009,26530,사상구
2,2820055000,간석3동,11753659,소래분식,2820010200100410001000002,312,간석자유시장,1,,28,인천광역시,,1,108,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,37.4638720717049,2820010200,간석동,인천광역시 남동구 간석동 41-1,2820010200200410001,41,1,126.715330236255,21511,405230,1,대지,인천광역시 남동구 백범로,인천광역시 남동구 백범로 312-1,282003153084,28200,남동구
3,4281025000,인제읍,11753660,팔도불곱창,4281025021002950001009116,4,,,,42,강원도,,1,,Q,음식,Q01,한식,Q01A03,곱창/양구이전문,I56111,한식 음식점업,38.0682769595815,4281025021,인제읍,강원도 인제군 인제읍 상동리 347-32,4281025021203470032,347,32,128.172079106752,24632,252806,1,대지,강원도 인제군 인제읍 비봉로8번길,강원도 인제군 인제읍 비봉로8번길 4,428104499081,42810,인제군
4,4833032000,원동면,11753661,에덴밸리CC에덴그늘집,4833011200204890001001825,910,에덴밸리골프장,,,48,경상남도,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.424429693571,4833032025,원동면,경상남도 양산시 원동면 대리 1039,4833032025210390000,1039,,128.991338243116,50584,626832,1,대지,경상남도 양산시 원동면 어실로,경상남도 양산시 원동면 어실로 910,483303338065,48330,양산시
5,4211058000,소양동,11753662,지연이네,4211010200100080049019584,7,,3,,42,강원도,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.8826499652795,4211010200,요선동,강원도 춘천시 요선동 8-49,4211010200200080049,8,49,127.727681870442,24271,200030,1,대지,강원도 춘천시 서부대성로44번길,강원도 춘천시 서부대성로44번길 7-3,421104454380,42110,춘천시
6,2920064000,하남동,11753669,곰바우족발,2920012500107530000000001,403,,,,29,광주광역시,,1,,Q,음식,Q01,한식,Q01A08,족발/보쌈전문,I56111,한식 음식점업,35.1792499943277,2920012500,하남동,광주광역시 광산구 하남동 753,2920012500207530000,753,,126.804430477487,62331,506250,1,대지,광주광역시 광산구 용아로,광주광역시 광산구 용아로 403,292003163035,29200,광산구
7,2823759200,청천2동,11753670,알리카페,2823710400101910005016387,9,,13,,28,인천광역시,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.5124110601143,2823710400,청천동,인천광역시 부평구 청천동 191-5,2823710400201910005,191,5,126.707112496712,21313,403030,1,대지,인천광역시 부평구 세월천로25번길,인천광역시 부평구 세월천로25번길 9-13,282374262498,28237,부평구
8,1165052000,서초2동,11753672,팝콘,1165010800113570069024835,10,,,,11,서울특별시,,1,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,37.4876935154957,1165010800,서초동,서울특별시 서초구 서초동 1357-69,1165010800213570069,1357,69,127.03169260237,06729,137070,1,대지,서울특별시 서초구 강남대로43길,서울특별시 서초구 강남대로43길 10,116504163020,11650,서초구
9,2820051000,구월1동,11753673,승승장구,2820010100114980003000001,5,,15,,28,인천광역시,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.4432509891703,2820010100,구월동,인천광역시 남동구 구월동 1498-3,2820010100214980003,1498,3,126.709874352164,21581,405220,1,대지,인천광역시 남동구 선수촌공원로55번길,인천광역시 남동구 선수촌공원로55번길 5-15,282004851284,28200,남동구
