,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,4579040000,흥덕면,12675186,명성풍천장어,4579040021100720000016591,2684,,,,45,전라북도,,,,Q,음식,Q03,일식/수산물,Q03A07,민물장어전문,I56111,한식 음식점업,35.5157858519471,4579040021,흥덕면,전라북도 고창군 흥덕면 흥덕리 72,4579040021200720000,72,,126.705612854845,56415,585821,1,대지,전라북도 고창군 흥덕면 고인돌대로,전라북도 고창군 흥덕면 고인돌대로 2684,457902279001,45790,고창군
1,4683025300,삼호읍,12675189,명지,4683025326116770001007931,24,,,,46,전라남도,,,,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,34.7539228127488,4683025326,삼호읍,전라남도 영암군 삼호읍 용앙리 1677-1,4683025326216770001,1677,1,126.460936937903,58455,526897,1,대지,전라남도 영암군 삼호읍 대불주거2로2길,전라남도 영암군 삼호읍 대불주거2로2길 24,468304685112,46830,영암군
2,4117151000,안양1동,12675191,장우동,4117110100106220176013774,142,,1,,41,경기도,,1,,Q,음식,Q04,분식,Q04A04,우동전문점,I56194,분식 및 김밥 전문점,37.3977771357813,4117110100,안양동,경기도 안양시 만안구 안양동 622-176,4117110100206220176,622,176,126.923410368404,13996,430829,1,대지,경기도 안양시 만안구 장내로,경기도 안양시 만안구 장내로 142-1,411713182023,41171,안양시 만안구
3,2623054000,연지동,12675194,최고집왕갈비탕초읍본점,2623010600100200007054458,51,,,초읍본점,26,부산광역시,,1,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,35.1752506701035,2623010600,연지동,부산광역시 부산진구 연지동 20-7,2623010600200200007,20,7,129.054557428977,47129,614859,1,대지,부산광역시 부산진구 성지로,부산광역시 부산진구 성지로 51,262303129029,26230,부산진구
4,4136057000,별내동,12675195,초콜릿커피,4136011100108290000000001,15,,62,,41,경기도,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.6668723316456,4136011100,별내동,경기도 남양주시 별내동 829,4136011100208290000,829,,127.115072603577,12097,472501,1,대지,경기도 남양주시 덕송2로10번길,경기도 남양주시 덕송2로10번길 15-62,413604391803,41360,남양주시
5,1171057000,오금동,12675198,콩나물국밥문어보쌈,1171011200100810008015343,302,신대원빌딩,,오금점,11,서울특별시,,7,,Q,음식,Q01,한식,Q01A08,족발/보쌈전문,I56111,한식 음식점업,37.5071596687089,1171011200,오금동,서울특별시 송파구 오금동 81-8,1171011200200810008,81,8,127.133033931978,05724,138858,1,대지,서울특별시 송파구 중대로,서울특별시 송파구 중대로 302,117103123016,11710,송파구
6,1130553500,미아동,12675207,완도회수산,1130510100101890005000001,7,은진빌딩,,,11,서울특별시,,5,,Q,음식,Q03,일식/수산물,Q03A01,횟집,I56111,한식 음식점업,37.6320627579478,1130510100,미아동,서울특별시 강북구 미아동 189-5,1130510100201890005,189,5,127.024474867995,01128,142803,1,대지,서울특별시 강북구 도봉로72길,서울특별시 강북구 도봉로72길 7,113054124131,11305,강북구
7,4683025300,삼호읍,12675208,영산호민물장어,4683025330102890008000002,165,,,,46,전라남도,,,,Q,음식,Q03,일식/수산물,Q03A07,민물장어전문,I56111,한식 음식점업,34.7865908495004,4683025330,삼호읍,전라남도 영암군 삼호읍 나불리 289-8,4683025330202890008,289,8,126.463214637819,58447,526891,1,대지,전라남도 영암군 삼호읍 나불외도로,전라남도 영암군 삼호읍 나불외도로 165,468303295014,46830,영암군
8,4117355000,관양1동,12675226,시크릿가든,4117310200116910000000001,57,,,,41,경기도,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.4078070924728,4117310200,관양동,경기도 안양시 동안구 관양동 1691,4117310200216910000,1691,,126.970064620312,13930,431061,1,대지,경기도 안양시 동안구 동편로183번길,경기도 안양시 동안구 동편로183번길 57,411734349258,41173,안양시 동안구
9,4161025900,곤지암읍,12675234,첸,4161025636101060016000001,31,크로바빌딩,22,,41,경기도,,2,,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,37.356042155393,4161025936,곤지암읍,경기도 광주시 곤지암읍 삼리 106-16,4161025936201060016,106,16,127.327045157481,12800,464937,1,대지,경기도 광주시 곤지암읍 평촌길,경기도 광주시 곤지암읍 평촌길 31-22,416104433496,41610,광주시
10,4686025000,함평읍,12675239,카페아모테함평점,4686025023102010014046263,156,,,함평점,46,전라남도,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,35.0630091884611,4686025023,함평읍,전라남도 함평군 함평읍 내교리 201-14,4686025023202010014,201,14,126.520164828452,57154,525803,1,대지,전라남도 함평군 함평읍 영수길,전라남도 함평군 함평읍 영수길 156,468604691212,46860,함평군
11,4211058000,소양동,12675247,북어국밥,4211011600101150009005505,138,,,,42,강원도,,5,,Q,음식,Q01,한식,Q01A05,해장국/감자탕,I56111,한식 음식점업,37.8760540633291,4211011600,소양로4가,강원도 춘천시 소양로4가 115-9,4211011600201150009,115,9,127.719840039284,24276,200114,1,대지,강원도 춘천시 중앙로,강원도 춘천시 중앙로 138,421103218033,42110,춘천시
12,4161052000,송정동,12675250,그라찌에,4161010600103930005010084,468,,,,41,경기도,,1,,Q,음식,Q06,양식,Q06A07,기타전문서양음식점,I56114,서양식 음식점업,37.4320275810024,4161010600,목현동,경기도 광주시 목현동 393-5,4161010600203930005,393,5,127.208658396131,12765,464903,1,대지,경기도 광주시 이배재로,경기도 광주시 이배재로 468,416103211037,41610,광주시
13,4161025000,오포읍,12675256,막걸리랑국수,4161025026102260029041756,18,,,,41,경기도,,1,,Q,음식,Q09,유흥주점,Q09A04,민속주점,I56219,기타 주점업,37.3570620976573,4161025026,오포읍,경기도 광주시 오포읍 매산리 226-17,4161025026202260017,226,17,127.24661830278,12798,464893,1,대지,경기도 광주시 오포읍 회안대로,경기도 광주시 오포읍 회안대로 18,416102012015,41610,광주시
14,4148056000,운정2동,12675266,홍가네김밥,4148011700109330000000003,33,,,,41,경기도,,1,,Q,음식,Q09,유흥주점,Q09A04,민속주점,I56219,기타 주점업,37.7287006316438,4148011700,목동동,경기도 파주시 목동동 933,4148011700209330000,933,,126.736360736899,10892,413110,1,대지,경기도 파주시 청암로17번길,경기도 파주시 청암로17번길 33,414804853905,41480,파주시
15,4117151000,안양1동,12675269,김밥천국,4117110100101640001010622,55,,,,41,경기도,,1,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,37.3972651954679,4117110100,안양동,경기도 안양시 만안구 안양동 164-1,4117110100201640001,164,1,126.93054421865,13995,430829,1,대지,경기도 안양시 만안구 관악대로,경기도 안양시 만안구 관악대로 55,411712182001,41171,안양시 만안구
16,4117158000,안양8동,12675275,단골네생선구이밥상,4117110100105700002000128,25,,,,41,경기도,,1,,Q,음식,Q03,일식/수산물,Q03A11,갈치/생선구이,I56111,한식 음식점업,37.3836992620634,4117110100,안양동,경기도 안양시 만안구 안양동 570-2,4117110100205700002,570,2,126.930996638378,14093,430821,1,대지,경기도 안양시 만안구 문예로18번길,경기도 안양시 만안구 문예로18번길 25,411714346074,41171,안양시 만안구
17,4117151000,안양1동,12675278,양꼬치미각짬뽕,4117110100106740157012147,203,,,,41,경기도,,1,,Q,음식,Q09,유흥주점,Q09A03,꼬치구이전문점,I56219,기타 주점업,37.3990538412993,4117110100,안양동,경기도 안양시 만안구 안양동 674-157,4117110100206740157,674,157,126.92409235049,13992,430831,1,대지,경기도 안양시 만안구 만안로,경기도 안양시 만안구 만안로 203,411713182003,41171,안양시 만안구
18,4161025300,초월읍,12675281,임정권만두찐빵전문점,4161025329107090001000002,355,,,,41,경기도,,1,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,37.4171389035057,4161025329,초월읍,경기도 광주시 초월읍 지월리 709-1,4161025329207090001,709,1,127.286054518916,12728,464863,1,대지,경기도 광주시 초월읍 현산로,경기도 광주시 초월읍 현산로 355,416103211028,41610,광주시
19,4161025900,곤지암읍,12675282,행운포차,4161025636101060013000001,31,,16,,41,경기도,,3,,Q,음식,Q09,유흥주점,Q09A02,소주방/포장마차,I56219,기타 주점업,37.3562022887526,4161025936,곤지암읍,경기도 광주시 곤지암읍 삼리 106-13,4161025936201060013,106,13,127.326682506035,12800,464937,1,대지,경기도 광주시 곤지암읍 평촌길,경기도 광주시 곤지암읍 평촌길 31-16,416104433496,41610,광주시
20,4161025300,초월읍,12675283,함지박순대전문,4161025329102920005000001,42,,,,41,경기도,,1,,Q,음식,Q10,별식/퓨전요리,Q10A05,순대전문점,I56111,한식 음식점업,37.4130665345401,4161025329,초월읍,경기도 광주시 초월읍 지월리 292-5,4161025329202920005,292,5,127.295153115688,12728,464863,1,대지,경기도 광주시 초월읍 지월로,경기도 광주시 초월읍 지월로 42,416103211021,41610,광주시
21,2820055100,간석4동,12675294,참숯생고기전문점,2820010200106160054006236,479,,,,28,인천광역시,,1,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,37.4660967336108,2820010200,간석동,인천광역시 남동구 간석동 616-54,2820010200206160054,616,54,126.688998760892,21501,405810,1,대지,인천광역시 남동구 석정로,인천광역시 남동구 석정로 479,282003151030,28200,남동구
22,4141056000,금정동,12675296,부산회집,4141010500100410006008524,50,,,,41,경기도,,1,,Q,음식,Q03,일식/수산물,Q03A01,횟집,I56111,한식 음식점업,37.3697168320656,4141010500,금정동,경기도 군포시 금정동 41-6,4141010500200410006,41,6,126.943263976122,15811,435825,1,대지,경기도 군포시 산본천로226번길,경기도 군포시 산본천로226번길 50,414104400264,41410,군포시
23,4161025900,곤지암읍,12675297,솥뚜껑삼겹살,4161025621104400015024117,51,,,,41,경기도,,1,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,37.3495703062546,4161025921,곤지암읍,경기도 광주시 곤지암읍 곤지암리 440-15,4161025921204400015,440,15,127.341099046353,12804,464872,1,대지,경기도 광주시 곤지암읍 곤지암로,경기도 광주시 곤지암읍 곤지암로 51,416103211003,41610,광주시
24,4117158000,안양8동,12675298,참맛남원추어탕,4117110100105480003012417,11,,,,41,경기도,,1,,Q,음식,Q01,한식,Q01A14,추어탕전문,I56111,한식 음식점업,37.3850433784326,4117110100,안양동,경기도 안양시 만안구 안양동 548-3,4117110100205480003,548,3,126.93216323571,14093,430821,1,대지,경기도 안양시 만안구 문예로36번길,경기도 안양시 만안구 문예로36번길 11,411714346076,41171,안양시 만안구
25,4141056000,금정동,12675299,흥왕양꼬치,4141010500100400014008547,47,,,,41,경기도,,3,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.3698450836531,4141010500,금정동,경기도 군포시 금정동 40-14,4141010500200400014,40,14,126.943499265563,15811,435825,1,대지,경기도 군포시 산본천로226번길,경기도 군포시 산본천로226번길 47,414104400264,41410,군포시
26,4141052000,군포2동,12675302,미락초밥,4141010300111950000000001,5,,,,41,경기도,,1,,Q,음식,Q03,일식/수산물,Q03A03,음식점-초밥전문,I56113,일식 음식점업,37.3360246816083,4141010300,부곡동,경기도 군포시 부곡동 1195,4141010300211950000,1195,,126.934098906254,15874,435012,1,대지,경기도 군포시 삼성로,경기도 군포시 삼성로 5,414103200026,41410,군포시
27,4115062000,녹양동,12675304,니커피즈,4115011100101540042008557,60,인창빌딩,,,41,경기도,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.7579095357732,4115011100,녹양동,경기도 의정부시 녹양동 154-42,4115011100201540042,154,42,127.033288152495,11614,480826,1,대지,경기도 의정부시 비우로,경기도 의정부시 비우로 60,411503181020,41150,의정부시
28,1130555500,송천동,12675308,호식이두마리치킨미아1호점,1130510100103100008021805,147,,,미아1호점,11,서울특별시,,1,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,37.6234441199322,1130510100,미아동,서울특별시 강북구 미아동 310-8,1130510100203100008,310,8,127.026082838463,01171,142814,1,대지,서울특별시 강북구 솔샘로67길,서울특별시 강북구 솔샘로67길 147,113054124376,11305,강북구
