,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,2671025300,장안읍,25977500,삼보유통고리원자력점,2671025334103090003006350,28,한빛아파트단지사택,,,26,부산광역시,하,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.3305795979305,2671025334,장안읍,부산광역시 기장군 장안읍 길천리 310-3,2671025334203100003,310,3,129.282666581153,46035,619952,1,대지,부산광역시 기장군 장안읍 천산로,부산광역시 기장군 장안읍 천산로 28,267103000044,26710,기장군
1,4113565500,삼평동,25977526,버거킹,4113510900106700000000001,660,유스페이스1,,판교유스페이스점,41,경기도,,1,111,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.4002514151639,4113510900,삼평동,경기도 성남시 분당구 삼평동 670,4113510900206700000,670,,127.106877533338,13494,463400,1,대지,경기도 성남시 분당구 대왕판교로,경기도 성남시 분당구 대왕판교로 660,411353180005,41135,성남시 분당구
2,2635052000,우2동,25977550,삼보에프앤디토다이센텀,2635010500115190000000001,50,센템임페리얼타워빌딩,,,26,부산광역시,,6,5,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.1681220886383,2635010500,우동,부산광역시 해운대구 우동 1519,2635010500215190000,1519,,129.131327552453,48060,612020,1,대지,부산광역시 해운대구 센텀남대로,부산광역시 해운대구 센텀남대로 50,263502133001,26350,해운대구
3,4128758000,송포동,25977598,빈스앤로스터코리아일산원,4128710400126060000000001,300,원마운트,,,41,경기도,,6,2083,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.6645440393554,4128710400,대화동,경기도 고양시 일산서구 대화동 2606,4128710400226060000,2606,,126.754507255359,10392,411410,1,대지,경기도 고양시 일산서구 한류월드로,경기도 고양시 일산서구 한류월드로 300,412873193039,41287,고양시 일산서구
4,4413159000,신안동,25977601,서가앤쿡,4413111800104680001007494,58,,,천안신부점,44,충청남도,2,2,,Q,음식,Q06,양식,Q06A07,기타전문서양음식점,I56114,서양식 음식점업,36.8187053666527,4413111800,신부동,충청남도 천안시 동남구 신부동 468-1,4413111800204680001,468,1,127.158761651096,31124,330943,1,대지,충청남도 천안시 동남구 만남로,충청남도 천안시 동남구 만남로 58,441313249008,44131,천안시 동남구
5,4715031000,농소면,25977614,삼립식품김천휴게소,4715031022107300000000001,194,김천휴게소상행,,,47,경상북도,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,36.1308724908228,4715031022,농소면,경상북도 김천시 농소면 신촌리 730,4715031022207300000,730,,128.163796978085,39643,740882,1,대지,경상북도 김천시 농소면 경부고속도로,경상북도 김천시 농소면 경부고속도로 194,471501000001,47150,김천시
6,4833025300,물금읍,25977618,새손양산부산대병원직,4833025324102160003004726,20,양산부산대학교병원,,,48,경상남도,,2,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.3271280045105,4833025324,물금읍,경상남도 양산시 물금읍 범어리 2762-1,4833025324227620001,2762,1,129.009748671334,50612,626742,1,대지,경상남도 양산시 물금읍 금오로,경상남도 양산시 물금읍 금오로 20,483303338010,48330,양산시
7,4311375600,봉명2.송정동,25977623,생명살림올리,4311311500114110000016391,4,,,,43,충청북도,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,36.6452970272015,4311311500,봉명동,충청북도 청주시 흥덕구 봉명동 1411,4311311500214110000,1411,,127.463636047644,28451,361300,1,대지,충청북도 청주시 흥덕구 1순환로536번길,충청북도 청주시 흥덕구 1순환로536번길 4,431134512270,43113,청주시 흥덕구
8,1141058500,신촌동,25977651,삼립지에프에스세브란스,1141011300100050000023540,50,연세의료원,,,11,서울특별시,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.5613940631953,1141011400,신촌동,서울특별시 서대문구 신촌동 134,1141011400201340000,134,,126.940811573931,03722,120749,1,대지,서울특별시 서대문구 연세로,서울특별시 서대문구 연세로 50,114103112008,11410,서대문구
9,2811062800,운서동,25977660,삼립식품사누끼보레인천공,2811014700128510000223132,271,인천국제공항역,,,28,인천광역시,FB,1,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,37.4475922610577,2811014700,운서동,인천광역시 중구 운서동 2851,2811014700228510000,2851,,126.452336045591,22382,400715,1,대지,인천광역시 중구 공항로,인천광역시 중구 공항로 271,281103149003,28110,중구
