,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,4161051000,경안동,23375335,팔팔호프,4161011200100270028003056,8,,,,41,경기도,,1,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,37.4066509719869,4161011200,역동,경기도 광주시 역동 27-28,4161011200200270028,27,28,127.259789852727,12759,464807,1,대지,경기도 광주시 역동로,경기도 광주시 역동로 8,416103211018,41610,광주시
1,1171064100,문정1동,23375336,은혜곱창,1171010800100370006004751,40,현대빌딩,,,11,서울특별시,,1,,Q,음식,Q01,한식,Q01A03,곱창/양구이전문,I56111,한식 음식점업,37.4866129453224,1171010800,문정동,서울특별시 송파구 문정동 37-6,1171010800200370006,37,6,127.126577307509,05803,138200,1,대지,서울특별시 송파구 송이로32길,서울특별시 송파구 송이로32길 40,117104169314,11710,송파구
2,2729057200,용산2동,23375341,불스떡볶이,2729011100104460017002778,10,,14,용산점,27,대구광역시,,1,,Q,음식,Q04,분식,Q04A03,떡볶이전문,I56194,분식 및 김밥 전문점,35.8563206378112,2729011100,용산동,대구광역시 달서구 용산동 446-17,2729011100204460017,446,17,128.521504596034,42617,704130,1,대지,대구광역시 달서구 성지로18길,대구광역시 달서구 성지로18길 10-14,272904241350,27290,달서구
3,4421053500,동문2동,23375343,바오밥스토리,4421010200102100002039897,3516,,,,44,충청남도,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,36.7765436792259,4421010200,동문동,충청남도 서산시 동문동 210-2,4421010200202100002,210,2,126.465968473243,32001,356800,1,대지,충청남도 서산시 서해로,충청남도 서산시 서해로 3516,442103000117,44210,서산시
4,4719053000,원평2동,23375344,카페점보,4719010100103730002016880,5,,,,47,경상북도,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,36.1283737841833,4719010100,원평동,경상북도 구미시 원평동 373-2,4719010100203730002,373,2,128.333996552341,39220,730010,1,대지,경상북도 구미시 구미중앙로17길,경상북도 구미시 구미중앙로17길 5,471904724066,47190,구미시
5,3017056000,괴정동,23375350,쭈포차,3017010800104260001007528,41,리베라아이누리,80,,30,대전광역시,,,106,Q,음식,Q09,유흥주점,Q09A02,소주방/포장마차,I56219,기타 주점업,36.339529575229,3017010800,괴정동,대전광역시 서구 괴정동 426-1,3017010800204260001,426,1,127.389009528995,35299,302816,1,대지,대전광역시 서구 용문로,대전광역시 서구 용문로 41-80,301703166038,30170,서구
6,2824573000,계양3동,23375352,들풀한식부페,2824511400100920007112969,35,,,,28,인천광역시,,1,,Q,음식,Q15,부페,Q15A01,종합부페,,,37.579496849599,2824511400,평동,인천광역시 계양구 평동 92-7,2824511400200920007,92,7,126.775137749894,21008,407400,1,대지,인천광역시 계양구 벌말로565번길,인천광역시 계양구 벌말로565번길 35,282454265178,28245,계양구
7,2726067000,고산1동,23375355,폴인샤브,2726011800105670001026296,106,,,시지점,27,대구광역시,,,,Q,음식,Q10,별식/퓨전요리,Q10A02,샤브샤브전문,I56111,한식 음식점업,35.8400157663243,2726011800,신매동,대구광역시 수성구 신매동 567-1,2726011800205670001,567,1,128.705150836211,42274,706170,1,대지,대구광역시 수성구 고산로,대구광역시 수성구 고산로 106,272603146002,27260,수성구
8,2726056100,만촌3동,23375363,미세스꼬마김밥,2726010200108540000024841,2640,,,,27,대구광역시,,,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,35.8562409877457,2726010200,만촌동,대구광역시 수성구 만촌동 854,2726010200208540000,854,,128.650567228923,42068,706020,1,대지,대구광역시 수성구 달구벌대로,대구광역시 수성구 달구벌대로 2640,272602007002,27260,수성구
9,4812354000,사파동,23375368,노블,4812310500103640001034506,13,X-MALL빌딩,,,48,경상남도,,3,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,35.2082694419749,4812310500,대방동,경상남도 창원시 성산구 대방동 364-1,4812310500203640001,364,1,128.707576035721,51465,642805,1,대지,경상남도 창원시 성산구 가양로124번길,경상남도 창원시 성산구 가양로124번길 13,481234784002,48123,창원시 성산구
10,3020053000,온천1동,23375373,순심이흑염소,3020011200105440038014808,117,,,,30,대전광역시,,1,101,Q,음식,Q01,한식,Q01A99,기타고기요리,I56111,한식 음식점업,36.3517118338523,3020011200,구암동,대전광역시 유성구 구암동 544-38,3020011200205440038,544,38,127.336137331377,34178,305800,1,대지,대전광역시 유성구 유성대로668번길,대전광역시 유성구 유성대로668번길 117,302004301341,30200,유성구
11,4775037000,진보면,23375378,장군수산,4775037036101220003000001,9,,,,47,경상북도,,,,Q,음식,Q03,일식/수산물,Q03A99,수산물전문음식점-종합,I56111,한식 음식점업,36.5281938944704,4775037036,진보면,경상북도 청송군 진보면 진안리 122-3,4775037036201220003,122,3,129.046788096926,37410,763816,1,대지,경상북도 청송군 진보면 진안남2길,경상북도 청송군 진보면 진안남2길 9,477504748285,47750,청송군
12,4579025000,고창읍,23375385,나도순대국밥,4579025021102130005008593,3,네네치킨,,,45,전라북도,,1,,Q,음식,Q10,별식/퓨전요리,Q10A05,순대전문점,I56111,한식 음식점업,35.435491652286,4579025021,고창읍,전라북도 고창군 고창읍 읍내리 213-5,4579025021202130005,213,5,126.698485306083,56433,585807,1,대지,전라북도 고창군 고창읍 성산3길,전라북도 고창군 고창읍 성산3길 3,457904637468,45790,고창군
13,2623052000,부전2동,23375391,디델리라볶이,2623010300101940004000001,4,,,,26,부산광역시,,1,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,35.1543945940584,2623010300,부전동,부산광역시 부산진구 부전동 194-4,2623010300201940004,194,4,129.05947958182,47296,614030,1,대지,부산광역시 부산진구 중앙대로692번길,부산광역시 부산진구 중앙대로692번길 4,262304187689,26230,부산진구
14,1153054000,구로3동,23375392,황소꼼장어,1153010200111250002021975,569,,,,11,서울특별시,,1,,Q,음식,Q03,일식/수산물,Q03A14,곰장어전문,I56111,한식 음식점업,37.483799773851,1153010200,구로동,서울특별시 구로구 구로동 1125-2,1153010200211250002,1125,2,126.901745407519,08391,152050,1,대지,서울특별시 구로구 시흥대로,서울특별시 구로구 시흥대로 569,115302005010,11530,구로구
15,1162069500,신림동,23375396,24시만화카페,1162010200114320076012934,351,동산빌딩,,,11,서울특별시,,5,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.4856379118674,1162010200,신림동,서울특별시 관악구 신림동 1432-76,1162010200214320076,1432,76,126.929229170684,08760,151892,1,대지,서울특별시 관악구 신림로,서울특별시 관악구 신림로 351,116203120005,11620,관악구
