,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,4163025000,백석읍,16196282,간단하지만특별한화피디Cafe,4163025025100370000000001,31,,,마니피캇,41,경기도,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.8051221702009,4163025025,백석읍,경기도 양주시 백석읍 홍죽리 37,4163025025200370000,37,,126.968432519647,11517,482838,1,대지,경기도 양주시 백석읍 연곡로,경기도 양주시 백석읍 연곡로 31,416303212015,41630,양주시
1,2817074000,문학동,16196285,간단하지만특별한화피디Cafe,2817010900103910023103660,4,,,라비타,28,인천광역시,,,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.4372972107516,2817010900,문학동,인천광역시 남구 문학동 391-23,2817010900203910023,391,23,126.684721544004,22238,402070,1,대지,인천광역시 남구 소성로338번길,인천광역시 남구 소성로338번길 4,281704253382,28170,남구
2,1174064000,성내1동,16196293,간단하지만특별한화피디Cafe,1174010800104680004007482,187,파크비유캐슬,,DUDART,11,서울특별시,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.524887642564,1174010800,성내동,서울특별시 강동구 성내동 468-3,1174010800204680003,468,3,127.127477574433,05402,134848,1,대지,서울특별시 강동구 강동대로,서울특별시 강동구 강동대로 187,117402123001,11740,강동구
3,4711371000,환여동,16196299,간단하지만특별한화피디Cafe,4711312300101570012000001,20,,5,미하스,47,경상북도,,2,1,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,36.0739715067307,4711312300,환호동,경상북도 포항시 북구 환호동 157-12,4711312300201570012,157,12,129.404933570578,37598,791280,1,대지,경상북도 포항시 북구 해안로445번길,경상북도 포항시 북구 해안로445번길 20-5,471134712819,47113,포항시 북구
4,4719058200,형곡1동,16196306,피자빅,4719010900108570000025350,60,,,권영찬의,47,경상북도,,1,,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",36.1130265161964,4719010900,형곡동,경상북도 구미시 형곡동 857,4719010900208570000,857,,128.339774254766,39295,730927,1,대지,경상북도 구미시 신시로,경상북도 구미시 신시로 60,471903308042,47190,구미시
5,4119056000,원미1동,16196309,간단하지만특별한화피디Cafe,4119510100100360001012418,421,서광빌딩,,팩토리,41,경기도,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.4974722780359,4119010100,원미동,경기도 부천시 원미동 36-1,4119010100200360001,36,1,126.790501940456,14559,420837,1,대지,경기도 부천시 조마루로,경기도 부천시 조마루로 421,411903184016,41190,부천시
6,5013031000,안덕면,16196311,간단하지만특별한화피디Cafe,5013031022108400002000001,49,,19,루시아,50,제주특별자치도,,,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,33.2349619155162,5013031022,안덕면,제주특별자치도 서귀포시 안덕면 창천리 840-2,5013031022208400002,840,2,126.363736116269,63533,699923,1,대지,제주특별자치도 서귀포시 안덕면 난드르로,제주특별자치도 서귀포시 안덕면 난드르로 49-19,501303350027,50130,서귀포시
7,2920052500,송정2동,16196312,또아,2920010100109900010005422,11,,,,29,광주광역시,,1,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,35.1365280153572,2920010100,송정동,광주광역시 광산구 송정동 990-10,2920010100209900010,990,10,126.792041693896,62437,506807,1,대지,광주광역시 광산구 송정로8번길,광주광역시 광산구 송정로8번길 11,292004289321,29200,광산구
8,3017058100,갈마1동,16196314,윤정희추어탕,3017011100108560000020293,17,갈마동다가구주택,15,,30,대전광역시,마,1,1,Q,음식,Q01,한식,Q01A14,추어탕전문,I56111,한식 음식점업,36.3521454378008,3017011100,갈마동,대전광역시 서구 갈마동 856,3017011100208560000,856,,127.37303430163,35231,302808,1,대지,대전광역시 서구 갈마역로25번길,대전광역시 서구 갈마역로25번길 17-15,301704298030,30170,서구
9,4113560000,이매1동,16196317,델리,4113510600101050006055605,14,대한빌딩,,아메리칸,41,경기도,,1,,Q,음식,Q07,패스트푸드,Q07A04,패스트푸드,I56199,그외 기타 음식점업,37.3994548344331,4113510600,이매동,경기도 성남시 분당구 이매동 105-6,4113510600201050006,105,6,127.126900874006,13566,463829,1,대지,경기도 성남시 분당구 성남대로779번길,경기도 성남시 분당구 성남대로779번길 14,411354340272,41135,성남시 분당구
10,4572025000,진안읍,16196319,간단하지만특별한화피디Cafe,4572025023107450000000001,130,관광개발사업소,,마이산홍삼족욕,45,전라북도,,,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,35.7754994368729,4572025023,진안읍,전라북도 진안군 진안읍 단양리 745,4572025023207450000,745,,127.417897179786,55438,567805,1,대지,전라북도 진안군 진안읍 마이산로,전라북도 진안군 진안읍 마이산로 130,457203274014,45720,진안군
11,1165058000,반포3동,16196322,간단하지만특별한화피디Cafe,1165010600100760008017649,310,고이비토빌딩,3,2001,11,서울특별시,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.5067199281522,1165010600,잠원동,서울특별시 서초구 잠원동 76-8,1165010600200760008,76,8,127.000930956202,06509,137909,1,대지,서울특별시 서초구 반포대로,서울특별시 서초구 반포대로 310-3,116502121003,11650,서초구
12,4831039000,장목면,16196324,간단하지만특별한화피디Cafe,4831039029105000005000001,1113,,,퐁네프,48,경상남도,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,34.9572257878225,4831039029,장목면,경상남도 거제시 장목면 외포리 500-5,4831039029205000005,500,5,128.712846294107,53202,656836,1,대지,경상남도 거제시 장목면 옥포대첩로,경상남도 거제시 장목면 옥포대첩로 1113,483103337030,48310,거제시
13,4211053000,조운동,16196330,SK텔레콤,4211011000101810013022590,172,,,비뮤직타운,42,강원도,,1,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,37.8761932867247,4211011000,운교동,강원도 춘천시 운교동 181-13,4211011000201810013,181,13,127.733230118391,24329,200080,1,대지,강원도 춘천시 춘천로,강원도 춘천시 춘천로 172,421103218037,42110,춘천시
