,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,1121587000,구의3동,25691525,감나무집보신탕,1121510300102180010008397,14,,4,,11,서울특별시,,,,Q,음식,Q10,별식/퓨전요리,Q10A09,사철탕전문,I56111,한식 음식점업,37.5390472334129,1121510300,구의동,서울특별시 광진구 구의동 218-10,1121510300202180010,218,10,127.093320724358,05047,143200,1,대지,서울특별시 광진구 아차산로62길,서울특별시 광진구 아차산로62길 14-4,112154112348,11215,광진구
1,4213060000,우산동,25691535,삼천냥삼겹살,4213011100101360009019172,62,,,,42,강원도,,5,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,37.3691673513688,4213011100,우산동,강원도 원주시 우산동 136-9,4213011100201360009,136,9,127.937008236446,26342,220954,1,대지,강원도 원주시 우산로,강원도 원주시 우산로 62,421303219039,42130,원주시
2,4715051600,자산동,25691537,향미반점,4715010300101870021004880,25,,,미반점,47,경상북도,,1,,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,36.1218311173835,4715010300,모암동,경상북도 김천시 모암동 187-21,4715010300201870021,187,21,128.127895893325,39578,740010,1,대지,경상북도 김천시 용암로,경상북도 김천시 용암로 25,471503306026,47150,김천시
3,2729061500,진천동,25691541,김태주선산곱창,2729011700102910008012457,7,,,진천대곡점,27,대구광역시,,3,,Q,음식,Q01,한식,Q01A03,곱창/양구이전문,I56111,한식 음식점업,35.8095831197717,2729011700,진천동,대구광역시 달서구 진천동 291-8,2729011700202910008,291,8,128.526443817559,42774,704836,1,대지,대구광역시 달서구 진천로,대구광역시 달서구 진천로 7,272903147042,27290,달서구
4,5013032000,표선면,25691549,대양횟집,5013032021100400037000001,581,대양횟집,1,,50,제주특별자치도,,1,,Q,음식,Q03,일식/수산물,Q03A01,횟집,I56111,한식 음식점업,33.3249769524152,5013032021,표선면,제주특별자치도 서귀포시 표선면 표선리 40-37,5013032021200400037,40,37,126.843500448397,63629,699914,1,대지,제주특별자치도 서귀포시 표선면 민속해안로,제주특별자치도 서귀포시 표선면 민속해안로 581-1,501303350090,50130,서귀포시
5,4717040000,임동면,25691560,월곡빵집,4717040021108600000004500,31,,,,47,경상북도,,,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,36.5690968449172,4717040021,임동면,경상북도 안동시 임동면 중평리 860,4717040021208600000,860,,128.919159911315,36732,760853,1,대지,경상북도 안동시 임동면 편항길,경상북도 안동시 임동면 편항길 31,471704722159,47170,안동시
6,4113159000,단대동,25691561,초원의집,4113110400201640003012933,460,,,,41,경기도,,2,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.4620275267858,4113110400,단대동,경기도 성남시 수정구 단대동 산164-3,4113110400201640003,164,3,127.155733640615,13131,461140,2,산,경기도 성남시 수정구 수정로,경기도 성남시 수정구 수정로 460,411313178018,41131,성남시 수정구
7,4413159000,신안동,25691565,아구랑대구랑뽈찜신부점,4413111800107200000006556,23,,,신부점,44,충청남도,,1,,Q,음식,Q03,일식/수산물,Q03A05,해물찜/탕전문,I56111,한식 음식점업,36.8214256444103,4413111800,신부동,충청남도 천안시 동남구 신부동 720,4413111800207200000,720,,127.158586160903,31119,330944,1,대지,충청남도 천안시 동남구 터미널3길,충청남도 천안시 동남구 터미널3길 23,441314547730,44131,천안시 동남구
8,4719067000,인동동,25691568,무지개감골오리,4719012000100400001007292,33,,6,,47,경상북도,,1,,Q,음식,Q05,닭/오리요리,Q05A09,오리고기전문,I56111,한식 음식점업,36.0961126924857,4719012000,구평동,경상북도 구미시 구평동 40-1,4719012000200400001,40,1,128.450744133617,39444,730300,1,대지,경상북도 구미시 천생산길,경상북도 구미시 천생산길 33-6,471904724866,47190,구미시
9,1165054000,잠원동,25691578,다솔복전문,1165010600100080011018958,14,청하빌딩,,,11,서울특별시,,1,,Q,음식,Q03,일식/수산물,Q03A20,복전문,I56111,한식 음식점업,37.517450472826,1165010600,잠원동,서울특별시 서초구 잠원동 8-11,1165010600200080011,8,11,127.018005067248,06524,137902,1,대지,서울특별시 서초구 강남대로105길,서울특별시 서초구 강남대로105길 14,116504163004,11650,서초구
