,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,2641060000,장전1동,20614311,멕시카나치킨,2641010800103910006026907,35,송림아파트,,,26,부산광역시,,1,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,35.232855771669,2641010800,장전동,부산광역시 금정구 장전동 391-6,2641010800203910006,391,6,129.087436212008,46290,609390,1,대지,부산광역시 금정구 부산대학로38번길,부산광역시 금정구 부산대학로38번길 35,264104205203,26410,금정구
1,2632054300,화명3동,20614314,아사케,2632010200122680001013089,132,위너스타워,,,26,부산광역시,,2,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,35.2359221887074,2632010200,화명동,부산광역시 북구 화명동 2268-1,2632010200222680001,2268,1,129.011341689399,46525,616120,1,대지,부산광역시 북구 화명신도시로,부산광역시 북구 화명신도시로 132,263203132027,26320,북구
2,2811058500,동인천동,20614323,새집,2811013500101440002053447,39,,,,28,인천광역시,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.4730196950601,2811013500,용동,인천광역시 중구 용동 144-2,2811013500201440002,144,2,126.631266933774,22318,400170,1,대지,인천광역시 중구 우현로90번길,인천광역시 중구 우현로90번길 39,281104247246,28110,중구
3,4513070200,나운2동,20614327,화가실비,4513014400101010012006115,27,강천아케이트,,,45,전라북도,,1,,Q,음식,Q03,일식/수산물,Q03A01,횟집,I56111,한식 음식점업,35.9641388655284,4513014400,나운동,전라북도 군산시 나운동 101-12,4513014400201010012,101,12,126.703168374424,54140,573350,1,대지,전라북도 군산시 나운안길,전라북도 군산시 나운안길 27,451304604143,45130,군산시
4,4148052000,금촌2동,20614328,호밀나라,4148010100102460038026984,18,새로나체육관,,,41,경기도,,,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,37.7561234639726,4148010100,금촌동,경기도 파주시 금촌동 246-38,4148010100202460038,246,38,126.770960334918,10925,413010,1,대지,경기도 파주시 한마음1길,경기도 파주시 한마음1길 18,414804418851,41480,파주시
5,4888025000,거창읍,20614345,신승야식,4888025021101450114012526,10,,1,,48,경상남도,,1,,Q,음식,Q13,음식배달서비스,Q13A01,야식집,I56132,이동 음식업,35.6853868442977,4888025021,거창읍,경상남도 거창군 거창읍 상림리 145-114,4888025021201450114,145,114,127.910351498911,50139,670807,1,대지,경상남도 거창군 거창읍 아림로1길,경상남도 거창군 거창읍 아림로1길 10-1,488804841385,48880,거창군
6,4413358000,부성1동,20614360,석쇠마당,4413310400116200000046349,382,성광빌딩,,,44,충청남도,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,36.8360417243752,4413310400,두정동,충청남도 천안시 서북구 두정동 1620,4413310400216200000,1620,,127.145835978746,31103,331963,1,대지,충청남도 천안시 서북구 봉정로,충청남도 천안시 서북구 봉정로 382,441333250053,44133,천안시 서북구
7,4729036000,압량면,20614364,멕시칸치킨,4729036021105140017039602,8,,,영대체인,47,경상북도,,,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,35.840618489143,4729036021,압량면,경상북도 경산시 압량면 부적리 514-17,4729036021205140017,514,17,128.758621643416,38527,712821,1,대지,경상북도 경산시 압량면 부적길,경상북도 경산시 압량면 부적길 8,472904739377,47290,경산시
8,4794032000,북면,20614366,멕시카나,4794032024105290003003758,18,,,,47,경상북도,,,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,37.545183001215,4794032024,북면,경상북도 울릉군 북면 천부리 528-1,4794032024205280001,528,1,130.873964413455,40211,799821,1,대지,경상북도 울릉군 북면 천부1길,경상북도 울릉군 북면 천부1길 18,479404778050,47940,울릉군
9,4721052500,하망동,20614379,신오복떡집,4721010300104220013000002,119,이펙스,,,47,경상북도,,,,Q,음식,Q08,제과제빵떡케익,Q08A03,떡전문,I56191,제과점업,36.8224523765484,4721010300,하망동,경상북도 영주시 하망동 422-75,4721052500204220075,422,75,128.626952598811,36085,750913,1,대지,경상북도 영주시 원당로,경상북도 영주시 원당로 119,472103309052,47210,영주시
