,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,4471032000,제원면,26336140,원골폭포식당,4471032033102470005033953,596,금강아쿠아레져,4,,44,충청남도,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,36.1149760270303,4471032033,제원면,충청남도 금산군 제원면 천내리 247-5,4471032033202470005,247,5,127.591796999759,32761,312822,1,대지,충청남도 금산군 제원면 금강로,충청남도 금산군 제원면 금강로 596-4,447103000178,44710,금산군
1,4150052000,중리동,26336142,왕자식당,4150010300101930015009234,46,,,,41,경기도,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.2795901126291,4150010300,중리동,경기도 이천시 중리동 193-15,4150010300201930015,193,15,127.442715559224,17374,467808,1,대지,경기도 이천시 서희로,경기도 이천시 서희로 46,415003207024,41500,이천시
2,4413359000,부성2동,26336157,우리집두마리치킨,4413310400109580000046749,26,두정빌,,,44,충청남도,,1,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,36.8344993342747,4413310400,두정동,충청남도 천안시 서북구 두정동 958,4413310400209580000,958,,127.136906821834,31100,331960,1,대지,충청남도 천안시 서북구 부성4길,충청남도 천안시 서북구 부성4길 26,441334550236,44133,천안시 서북구
3,4822035000,욕지면,26336158,욕지식당식육,4822035021108230011050368,107,정육식당,,,48,경상남도,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,34.6343019687136,4822035021,욕지면,경상남도 통영시 욕지면 동항리 823-11,4822035021208230011,823,11,128.264481902101,53100,650913,1,대지,경상남도 통영시 욕지면 서촌아랫길,경상남도 통영시 욕지면 서촌아랫길 107,482204799250,48220,통영시
4,4128757000,대화동,26336171,원조가마솥보신탕,4128710400121940001002630,5,,11,,41,경기도,,1,,Q,음식,Q10,별식/퓨전요리,Q10A09,사철탕전문,I56111,한식 음식점업,37.6775381909693,4128710400,대화동,경기도 고양시 일산서구 대화동 2194-1,4128710400221940001,2194,1,126.751251941961,10377,411804,1,대지,경기도 고양시 일산서구 일산로741번길,경기도 고양시 일산서구 일산로741번길 5-11,412874382117,41287,고양시 일산서구
5,4812757000,양덕2동,26336174,요미요미,4812710500101490021006253,126,,,,48,경상남도,,7,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,35.2232705016873,4812710500,양덕동,경상남도 창원시 마산회원구 양덕동 149-21,4812757000201490021,149,21,128.585783308211,51320,630490,1,대지,경상남도 창원시 마산회원구 용마로,경상남도 창원시 마산회원구 용마로 126,481273329034,48127,창원시 마산회원구
6,4812125000,동읍,26336176,우리동네,4812125021104500008036461,46,,2,,48,경상남도,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.2703342649108,4812125021,동읍,경상남도 창원시 의창구 동읍 용강리 450-8,4812125021204500008,450,8,128.637330874627,51133,641862,1,대지,경상남도 창원시 의창구 동읍 의창대로421번길,경상남도 창원시 의창구 동읍 의창대로421번길 46-2,481214781538,48121,창원시 의창구
7,4711365500,죽도동,26336178,울릉대게,4711311600105680028094911,2,,24,,47,경상북도,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,36.0357385612206,4711311600,죽도동,경상북도 포항시 북구 죽도동 568-28,4711365500205680028,568,28,129.369357305106,37740,791843,1,대지,경상북도 포항시 북구 죽도시장13길,경상북도 포항시 북구 죽도시장13길 2-24,471134712581,47113,포항시 북구
8,2817068000,주안3동,26336181,울타리,2817010600114200053020078,3,,,,28,인천광역시,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.4487041706434,2817010600,주안동,인천광역시 남구 주안동 1420-52,2817010600214200052,1420,52,126.674226186118,22214,402200,1,대지,인천광역시 남구 인하로235번길,인천광역시 남구 인하로235번길 3,281704253592,28170,남구
9,4111158000,영화동,26336188,워커힐노래빠,4111113400102760019040291,36,,1,,41,경기도,,1,,Q,음식,Q09,유흥주점,Q09A10,룸살롱/단란주점,I56211,일반유흥 주점업,37.2910039826096,4111113400,영화동,경기도 수원시 장안구 영화동 276-19,4111113400202760019,276,19,127.013794269598,16269,440818,1,대지,경기도 수원시 장안구 팔달로271번길,경기도 수원시 장안구 팔달로271번길 36-1,411114322404,41111,수원시 장안구
10,3117053000,화정동,26336195,왕십리식당,3117010200106320046008851,33,,6,,31,울산광역시,,,25,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.4971488432059,3117010200,화정동,울산광역시 동구 화정동 632-46,3117010200206320046,632,46,129.423804224525,44075,682822,1,대지,울산광역시 동구 화정9길,울산광역시 동구 화정9길 33-6,311704313277,31170,동구
11,2920063500,운남동,26336200,운남반점,2920012000103870037041555,144,,,,29,광주광역시,,1,4,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,35.1739649394644,2920012000,운남동,광주광역시 광산구 운남동 387-37,2920012000203870037,387,37,126.817900818108,62319,506816,1,대지,광주광역시 광산구 임방울대로,광주광역시 광산구 임방울대로 144,292002009005,29200,광산구
12,4812151000,의창동,26336202,우성실비식당,4812110300105910012018050,11,,,,48,경상남도,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.2622083045732,4812110300,서상동,경상남도 창원시 의창구 서상동 591-12,4812110300205910012,591,12,128.615517435602,51193,641500,1,대지,경상남도 창원시 의창구 서상로12번길,경상남도 창원시 의창구 서상로12번길 11,481214781337,48121,창원시 의창구
