,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,3014072000,문화1동,20602930,칭탕츄식당,3014011600100010032007856,68,,,,30,대전광역시,,,,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,36.3191637227863,3014011600,문화동,대전광역시 중구 문화동 1-32,3014011600200010032,1,32,127.414716411105,34964,301130,1,대지,대전광역시 중구 계룡로920번안길,대전광역시 중구 계룡로920번안길 68,301404295025,30140,중구
1,3017053500,정림동,20602932,세림돌구이,3017010400101250043015746,71,,,,30,대전광역시,,,,Q,음식,Q10,별식/퓨전요리,Q10A07,돌구이요리전문,I56199,그외 기타 음식점업,36.3049058996507,3017010400,정림동,대전광역시 서구 정림동 125-43,3017010400201250043,125,43,127.366965593907,35396,302854,1,대지,대전광역시 서구 계백로1286번길,대전광역시 서구 계백로1286번길 71,301704298093,30170,서구
2,2711054500,삼덕동,20602937,스툴,2711010500100380010007634,9,,,,27,대구광역시,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.8651922460547,2711010500,삼덕동1가,대구광역시 중구 삼덕동1가 38-10,2711010500200380010,38,10,128.598320682861,41942,700411,1,대지,대구광역시 중구 동성로4길,대구광역시 중구 동성로4길 9,271104223086,27110,중구
3,4146551000,풍덕천1동,20602951,준라이브,4146510100106690002025954,3,,3,,41,경기도,,,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,37.3329027819135,4146510100,풍덕천동,경기도 용인시 수지구 풍덕천동 669-2,4146510100206690002,669,2,127.09949418716,16829,448170,1,대지,경기도 용인시 수지구 문인로31번길,경기도 용인시 수지구 문인로31번길 3-3,414654415045,41465,용인시 수지구
4,4421040000,고북면,20602953,만리장성식당,4421040021106240007073177,328,,,,44,충청남도,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,36.670197526174,4421040021,고북면,충청남도 서산시 고북면 가구리 624-7,4421040021206240007,624,7,126.532739043021,32027,356811,1,대지,충청남도 서산시 고북면 고북1로,충청남도 서산시 고북면 고북1로 328,442103254003,44210,서산시
5,2917055500,중앙동,20602968,잔비어스,2917010200101010013016421,8,,,,29,광주광역시,,,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,35.1603207128533,2917010200,유동,광주광역시 북구 유동 101-13,2917010200201010013,101,13,126.906477558229,61245,500862,1,대지,광주광역시 북구 경열로233번길,광주광역시 북구 경열로233번길 8,291704286031,29170,북구
6,1171051000,풍납1동,20602971,내일또오리,1171010300104840015026334,26,,1,,11,서울특별시,,1,,Q,음식,Q05,닭/오리요리,Q05A09,오리고기전문,I56111,한식 음식점업,37.5356436489433,1171010300,풍납동,서울특별시 송파구 풍납동 484-15,1171010300204840015,484,15,127.121049796019,05519,138040,1,대지,서울특별시 송파구 풍성로25길,서울특별시 송파구 풍성로25길 26-1,117104169510,11710,송파구
7,2653065000,주례1동,20602974,진미식당,2653010600106840054008573,64,진미식당,,,26,부산광역시,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.1537405076342,2653010600,주례동,부산광역시 사상구 주례동 684-54,2653010600206840054,684,54,128.994135021834,47000,617010,1,대지,부산광역시 사상구 사상로,부산광역시 사상구 사상로 64,265303132023,26530,사상구
8,2726067000,고산1동,20602976,경산대추도너츠1번가,2726011800105940000026647,41,동서타운,,,27,대구광역시,,,,Q,음식,Q07,패스트푸드,Q07A06,도너츠전문,I56191,제과점업,35.8327508900779,2726011800,신매동,대구광역시 수성구 신매동 594,2726011800205940000,594,,128.706724674918,42286,706781,1,대지,대구광역시 수성구 신매로,대구광역시 수성구 신매로 41,272603146019,27260,수성구
9,2711054500,삼덕동,20602978,충무할매김밥,2711010500100550043007594,19,,,,27,대구광역시,,,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,35.8658612566844,2711010500,삼덕동1가,대구광역시 중구 삼덕동1가 55-43,2711010500200550043,55,43,128.599720916851,41942,700411,1,대지,대구광역시 중구 공평로,대구광역시 중구 공평로 19,271103007017,27110,중구
10,4159025900,향남읍,20602981,수인,4159025921100810068000002,56,,19,,41,경기도,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.1310230852371,4159025921,향남읍,경기도 화성시 향남읍 평리 81-68,4159025921200810068,81,68,126.908879113032,18593,445939,1,대지,경기도 화성시 향남읍 평6길,경기도 화성시 향남읍 평6길 56-19,415904431523,41590,화성시
11,4711352000,중앙동,20602991,피플,4711310200106950005107636,41,,3,,47,경상북도,,1,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,36.0388900086239,4711310200,신흥동,경상북도 포항시 북구 신흥동 695-5,4711310200206950005,695,5,129.364074480903,37735,791010,1,대지,경상북도 포항시 북구 불종로,경상북도 포항시 북구 불종로 41-3,471133304013,47113,포항시 북구
12,4480025000,홍성읍,20602992,카페그랑,4480025026103320000021107,25,,,,44,충청남도,,,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,36.5820073730774,4480025026,홍성읍,충청남도 홍성군 홍성읍 남장리 392-1,4480025026203920001,392,1,126.660918258308,32244,350701,1,대지,충청남도 홍성군 홍성읍 대학길,충청남도 홍성군 홍성읍 대학길 25,448004586182,44800,홍성군
13,4211035000,서면,20602994,정근봉콩나물국밥,4211035029103060000036995,1067,,,,42,강원도,,,1,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.8238928301605,4211035029,서면,강원도 춘천시 서면 당림리 306,4211035029203060000,306,,127.625619677226,24463,200832,1,대지,강원도 춘천시 서면 경춘로,강원도 춘천시 서면 경춘로 1067,421103000120,42110,춘천시
