,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,4113566200,금곡동,25677377,던킨도너츠미금역사점,4113511100102220000000001,156,미금역,,미금역사점,41,경기도,,1,,Q,음식,Q07,패스트푸드,Q07A06,도너츠전문,I56191,제과점업,37.35008571017,4113511100,금곡동,경기도 성남시 분당구 금곡동 222,4113511100202220000,222,,127.108916895739,13627,463869,1,대지,경기도 성남시 분당구 성남대로,경기도 성남시 분당구 성남대로 156,411352000005,41135,성남시 분당구
1,4613078000,쌍봉동,25677383,피플퓨전바,4613013100104410009037438,6,,,,46,전라남도,,3,,Q,음식,Q09,유흥주점,Q09A08,빠/카페/스탠드빠,I56211,일반유흥 주점업,34.7396701518854,4613013100,소호동,전라남도 여수시 소호동 441-9,4613013100204410009,441,9,127.64960143677,59669,555060,1,대지,전라남도 여수시 소호7길,전라남도 여수시 소호7길 6,461304646559,46130,여수시
2,3111058500,중앙동,25677386,이바돔감자탕,3111010500100820001000001,123,태화강엑소디움,,옥교본점,31,울산광역시,,,,Q,음식,Q01,한식,Q01A05,해장국/감자탕,I56111,한식 음식점업,35.5531677341725,3111010500,옥교동,울산광역시 중구 옥교동 82-1,3111010500200820001,82,1,129.323040109348,44531,681190,1,대지,울산광역시 중구 강북로,울산광역시 중구 강북로 123,311103169002,31110,중구
3,4315051700,의암동,25677387,루나리치,4315011400100250015000001,602,,,,43,충청북도,,,,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",37.179853947497,4315011400,모산동,충청북도 제천시 모산동 25-15,4315011400200250015,25,15,128.209032677745,27137,390110,1,대지,충청북도 제천시 의림대로,충청북도 제천시 의림대로 602,431502239002,43150,제천시
4,2917067700,오치2동,25677393,천솔칼국수,2917011500107660001000416,316,,5,본점,29,광주광역시,,1,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,35.1875322957744,2917011500,오치동,광주광역시 북구 오치동 766-1,2917011500207660001,766,1,126.899371530871,61055,500130,1,대지,광주광역시 북구 설죽로,광주광역시 북구 설죽로 316-5,291703162033,29170,북구
5,4315059000,청전동,25677426,나란이베이커리,4315011300109870000028890,5,덕일한마음아파트,,,43,충청북도,,1,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,37.1476134749812,4315011300,청전동,충청북도 제천시 청전동 987,4315011300209870000,987,,128.207739387928,27153,390768,1,대지,충청북도 제천시 칠성로,충청북도 제천시 칠성로 5,431503239071,43150,제천시
6,2714076000,공산동,25677427,명산,2714014300102140000048890,122,,,,27,대구광역시,,1,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,35.9851730847434,2714014300,송정동,대구광역시 동구 송정동 214,2714014300202140000,214,,128.623500494751,41000,701520,1,대지,대구광역시 동구 서촌로,대구광역시 동구 서촌로 122,271403142019,27140,동구
7,4111760000,광교1동,25677436,달담빵,4111710300113320000000001,85,광교C1호반베르디움,,,41,경기도,,2,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.2915561471043,4111710300,이의동,경기도 수원시 영통구 이의동 1332,4111710300213320000,1332,,127.050464070999,16507,443270,1,대지,경기도 수원시 영통구 센트럴타운로,경기도 수원시 영통구 센트럴타운로 85,411173177031,41117,수원시 영통구
8,4377034000,대소면,25677440,맘스터치음성대소점,4377034021101140005176259,31,풍산아파트,1,음성대소점,43,충청북도,,1,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,36.9670375927675,4377034021,대소면,충청북도 음성군 대소면 오산리 114-5,4377034021201140005,114,5,127.483949564862,27668,369824,1,대지,충청북도 음성군 대소면 오산로,충청북도 음성군 대소면 오산로 31-1,437703247037,43770,음성군
9,2623056000,양정1동,25677446,로뎅로바다야끼,2623010100103630001037595,894,,,,26,부산광역시,,4,,Q,음식,Q09,유흥주점,Q09A05,로바다야끼,I56113,일식 음식점업,35.1701008815796,2623010100,양정동,부산광역시 부산진구 양정동 363-1,2623010100203630001,363,1,129.069277594677,47229,614050,1,대지,부산광역시 부산진구 중앙대로,부산광역시 부산진구 중앙대로 894,262302000010,26230,부산진구
10,1171053200,거여2동,25677453,마구,1171011300102930001022891,12,세신거여훼미리타운,,,11,서울특별시,,7,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,37.4899000749882,1171011300,거여동,서울특별시 송파구 거여동 293-1,1171011300202930001,293,1,127.14356909377,05787,138110,1,대지,서울특별시 송파구 양산로,서울특별시 송파구 양산로 12,117103123022,11710,송파구
11,4150052000,중리동,25677455,진성섬진강유황오리,4150010300100590001038659,1131,,,,41,경기도,,1,,Q,음식,Q05,닭/오리요리,Q05A09,오리고기전문,I56111,한식 음식점업,37.2715792903542,4150010300,중리동,경기도 이천시 중리동 59-4,4150010300200590004,59,4,127.444646356324,17380,467808,1,대지,경기도 이천시 이섭대천로,경기도 이천시 이섭대천로 1131,415003207044,41500,이천시
12,1117062500,한강로동,25677462,파스타바아미고,1117012800100400999012888,7,철도회관,,,11,서울특별시,,9,,Q,음식,Q06,양식,Q06A04,스파게티전문점,I56114,서양식 음식점업,37.527902979157,1117012800,한강로3가,서울특별시 용산구 한강로3가 40-999,1117012800200400999,40,999,126.963222625326,04377,140780,1,대지,서울특별시 용산구 한강대로21나길,서울특별시 용산구 한강대로21나길 7,111704106416,11170,용산구
13,4513039000,옥도면,25677464,한빛회마당,4513039027100710000002435,44,한빛회마당,,,45,전라북도,,,,Q,음식,Q03,일식/수산물,Q03A01,횟집,I56111,한식 음식점업,35.8414778059539,4513039027,옥도면,전라북도 군산시 옥도면 야미도리 71,4513039027200710000,71,,126.489492380579,54000,573955,1,대지,전라북도 군산시 옥도면 야미도4길,전라북도 군산시 옥도면 야미도4길 44,451304604737,45130,군산시
